RUL histogram (density)
bin_center,density
0.103333,114.690000
0.110000,0.000000
0.116667,0.000000
0.123333,0.000000
0.130000,0.000000
0.136667,0.000000
0.143333,0.000000
0.150000,0.000000
0.156667,0.000000
0.163333,0.000000
0.170000,0.000000
0.176667,0.000000
0.183333,0.000000
0.190000,0.000000
0.196667,34.860000
0.203333,0.000000
0.210000,0.000000
0.216667,0.000000
0.223333,0.000000
0.230000,0.000000
0.236667,0.000000
0.243333,0.000000
0.250000,0.000000
0.256667,0.000000
0.263333,0.000000
0.270000,0.000000
0.276667,0.000000
0.283333,0.000000
0.290000,0.000000
0.296667,0.450000
